Category: All categories

Week,bitcoin: (Worldwide)
2019-04-07,13
2019-04-14,11
2019-04-21,12
2019-04-28,11
2019-05-05,14
2019-05-12,23
2019-05-19,17
2019-05-26,19
2019-06-02,15
2019-06-09,15
2019-06-16,20
2019-06-23,31
2019-06-30,21
2019-07-07,20
2019-07-14,21
2019-07-21,16
2019-07-28,15
2019-08-04,18
2019-08-11,17
2019-08-18,15
2019-08-25,14
2019-09-01,14
2019-09-08,12
2019-09-15,11
2019-09-22,14
2019-09-29,12
2019-10-06,12
2019-10-13,11
2019-10-20,13
2019-10-27,13
2019-11-03,11
2019-11-10,11
2019-11-17,12
2019-11-24,13
2019-12-01,11
2019-12-08,10
2019-12-15,12
2019-12-22,11
2019-12-29,11
2020-01-05,13
2020-01-12,13
2020-01-19,12
2020-01-26,13
2020-02-02,13
2020-02-09,16
2020-02-16,13
2020-02-23,14
2020-03-01,14
2020-03-08,24
2020-03-15,24
2020-03-22,18
2020-03-29,16
2020-04-05,16
2020-04-12,15
2020-04-19,15
2020-04-26,20
2020-05-03,22
2020-05-10,25
2020-05-17,18
2020-05-24,16
2020-05-31,16
2020-06-07,14
2020-06-14,13
2020-06-21,13
2020-06-28,13
2020-07-05,13
2020-07-12,14
2020-07-19,13
2020-07-26,20
2020-08-02,21
2020-08-09,17
2020-08-16,16
2020-08-23,14
2020-08-30,15
2020-09-06,14
2020-09-13,13
2020-09-20,11
2020-09-27,11
2020-10-04,11
2020-10-11,12
2020-10-18,16
2020-10-25,18
2020-11-01,19
2020-11-08,20
2020-11-15,27
2020-11-22,31
2020-11-29,25
2020-12-06,21
2020-12-13,33
2020-12-20,35
2020-12-27,52
2021-01-03,86
2021-01-10,83
2021-01-17,50
2021-01-24,49
2021-01-31,42
2021-02-07,76
2021-02-14,76
2021-02-21,81
2021-02-28,52
2021-03-07,52
2021-03-14,52
2021-03-21,45
2021-03-28,45
2021-04-04,40
2021-04-11,53
2021-04-18,68
2021-04-25,49
2021-05-02,43
2021-05-09,58
2021-05-16,100
2021-05-23,68
2021-05-30,49
2021-06-06,53
2021-06-13,39
2021-06-20,50
2021-06-27,35
2021-07-04,30
2021-07-11,28
2021-07-18,33
2021-07-25,38
2021-08-01,33
2021-08-08,35
2021-08-15,32
2021-08-22,32
2021-08-29,27
2021-09-05,38
2021-09-12,27
2021-09-19,32
2021-09-26,28
2021-10-03,32
2021-10-10,36
2021-10-17,45
2021-10-24,37
2021-10-31,32
2021-11-07,37
2021-11-14,36
2021-11-21,35
2021-11-28,35
2021-12-05,39
2021-12-12,34
2021-12-19,32
2021-12-26,29
2022-01-02,41
2022-01-09,37
2022-01-16,40
2022-01-23,53
2022-01-30,38
2022-02-06,38
2022-02-13,31
2022-02-20,41
2022-02-27,36
2022-03-06,31
2022-03-13,29
2022-03-20,26
2022-03-27,30
2022-04-03,26
2022-04-10,25
2022-04-17,22
2022-04-24,23
2022-05-01,24
2022-05-08,54
2022-05-15,38
2022-05-22,29
2022-05-29,27
2022-06-05,24
2022-06-12,63
2022-06-19,50
2022-06-26,37
2022-07-03,33
2022-07-10,30
2022-07-17,31
2022-07-24,26
2022-07-31,24
2022-08-07,22
2022-08-14,23
2022-08-21,22
2022-08-28,22
2022-09-04,22
2022-09-11,21
2022-09-18,23
2022-09-25,21
2022-10-02,19
2022-10-09,18
2022-10-16,16
2022-10-23,18
2022-10-30,18
2022-11-06,33
2022-11-13,30
2022-11-20,23
2022-11-27,21
2022-12-04,18
2022-12-11,19
2022-12-18,18
2022-12-25,18
2023-01-01,18
2023-01-08,20
2023-01-15,24
2023-01-22,22
2023-01-29,21
2023-02-05,18
2023-02-12,19
2023-02-19,19
2023-02-26,18
2023-03-05,18
2023-03-12,27
2023-03-19,26
2023-03-26,24
2023-04-02,21
2023-04-09,25
2023-04-16,22
2023-04-23,21
2023-04-30,19
2023-05-07,19
2023-05-14,16
2023-05-21,16
2023-05-28,17
2023-06-04,19
2023-06-11,19
2023-06-18,21
2023-06-25,20
2023-07-02,19
2023-07-09,20
2023-07-16,19
2023-07-23,17
2023-07-30,17
2023-08-06,17
2023-08-13,19
2023-08-20,18
2023-08-27,19
2023-09-03,17
2023-09-10,16
2023-09-17,16
2023-09-24,15
2023-10-01,16
2023-10-08,15
2023-10-15,18
2023-10-22,26
2023-10-29,21
2023-11-05,23
2023-11-12,21
2023-11-19,20
2023-11-26,20
2023-12-03,30
2023-12-10,24
2023-12-17,24
2023-12-24,22
2023-12-31,29
2024-01-07,41
2024-01-14,25
2024-01-21,23
2024-01-28,19
2024-02-04,20
2024-02-11,29
2024-02-18,22
2024-02-25,42
2024-03-03,50
2024-03-10,50
2024-03-17,38
2024-03-24,32
2024-03-31,30
2024-04-07,30
